"date","close","volume","open","high","low"
"2019/04/10","135.5800","3988460.0000","135.8900","136.1300","135.3300"
"2019/04/09","135.5700","5194452.0000","136.0000","136.2600","134.5600"
"2019/04/08","136.1400","4329575.0000","136.0500","136.5100","135.7000"
"2019/04/05","136.1800","4643231.0000","136.0400","136.5800","135.7000"
"2019/04/04","135.5700","5844556.0000","136.8700","137.0050","135.1300"
"2019/04/03","137.1700","5945714.0000","138.2000","138.2400","136.8700"
"2019/04/02","137.7100","5128936.0000","139.0100","139.0100","136.9100"
"2019/04/01","138.9800","5372503.0000","139.9900","140.2900","138.7350"
"2019/03/29","139.7900","7087185.0000","139.2800","139.8800","138.8800"
"2019/03/28","138.8800","4486248.0000","139.0600","139.4600","138.7100"
"2019/03/27","138.7000","6708470.0000","138.5900","139.4800","138.0700"
"2019/03/26","138.5700","4758601.0000","136.9300","139.2700","136.9300"
"2019/03/25","136.6100","4500291.0000","136.9100","137.0100","135.7400"
"2019/03/22","136.9100","6525925.0000","137.7500","138.3900","136.8600"
"2019/03/21","138.1000","5764916.0000","137.0000","138.7800","136.9500"
"2019/03/20","137.2900","5409839.0000","138.3300","138.5100","136.6500"
"2019/03/19","138.4400","5717594.0000","137.6100","138.8200","137.4700"
"2019/03/18","137.1700","6995326.0000","137.6500","137.7800","136.7200"
"2019/03/15","137.6000","11922510.0000","138.0000","138.2600","136.8300"
"2019/03/14","138.0200","8488611.0000","138.3400","138.8000","137.9400"
"2019/03/13","139.4100","6166512.0000","139.5900","139.8400","139.0200"
"2019/03/12","139.1800","5552794.0000","138.6500","140.0000","138.5000"
"2019/03/11","138.5600","6149884.0000","138.1100","139.0300","137.5200"
"2019/03/08","138.0600","7046679.0000","138.0900","139.3000","136.4200"
"2019/03/07","138.2400","6098258.0000","138.5300","139.1200","137.7000"
"2019/03/06","139.0900","6233386.0000","139.4700","139.6500","138.6000"
"2019/03/05","138.7700","6420178.0000","138.8100","139.1400","138.3600"
"2019/03/04","138.4800","8361996.0000","138.8500","139.4100","137.5100"
"2019/03/01","138.3500","5534214.0000","137.2200","138.6100","137.0100"
"2019/02/28","136.6400","10090530.0000","135.9500","137.9549","135.6900"
"2019/02/27","135.8700","4378013.0000","135.5200","136.2500","135.3900"
"2019/02/26","136.1100","5106308.0000","136.4400","136.9600","136.0500"
"2019/02/25","136.2000","6846220.0000","136.3500","137.4900","135.8600"
"2019/02/22","136.6000","5222557.0000","135.2900","136.6400","134.8200"
"2019/02/21","135.4200","6475773.0000","134.9800","135.7875","134.2688"
"2019/02/20","136.3500","5677567.0000","135.9700","136.7300","135.7251"
"2019/02/19","135.6900","5854777.0000","136.1400","136.3800","135.6300"
"2019/02/15","136.3800","6660029.0000","135.1900","136.4100","135.0100"
"2019/02/14","134.3100","3910400.0000","134.3000","134.8200","133.3500"
"2019/02/13","134.4500","7727235.0000","134.0700","134.9800","133.2100"
"2019/02/12","134.1600","6237991.0000","132.0800","134.3000","132.0800"
"2019/02/11","132.0000","4962197.0000","132.3100","132.6700","131.2600"
"2019/02/08","132.4000","4436608.0000","131.9500","132.4600","131.5400"
"2019/02/07","132.0500","6082234.0000","132.4500","132.6400","131.5300"
"2019/02/06","133.0000","5065673.0000","133.0800","133.5650","132.3000"
"2019/02/05","132.8800","6364450.0000","133.5200","133.8800","132.7500"
"2019/02/04","132.8800","7728385.0000","133.9600","134.1500","132.2100"
"2019/02/01","134.2000","9485474.0000","134.0200","134.6900","133.4700"
"2019/01/31","133.0800","17259950.0000","131.6300","135.1900","130.8700"
"2019/01/30","131.6400","7200648.0000","130.3700","132.1900","130.3000"
"2019/01/29","130.3300","6593286.0000","128.9500","130.4700","128.5000"
"2019/01/28","128.9900","6886728.0000","127.8100","129.1500","127.2900"
"2019/01/25","128.2300","7585115.0000","128.1300","128.4500","127.1800"
"2019/01/24","127.0300","9913640.0000","128.4900","128.7000","125.0000"
"2019/01/23","128.8000","9230022.0000","128.5000","129.3000","127.9300"
"2019/01/22","128.8000","10543790.0000","128.2000","129.5009","127.0100"
"2019/01/18","130.6900","10584780.0000","129.9000","131.1800","129.4500"
"2019/01/17","129.0900","7457899.0000","127.7100","129.5200","127.4628"
"2019/01/16","128.0400","6194415.0000","129.4100","129.4100","127.9000"
"2019/01/15","129.3600","5149230.0000","128.5200","129.4900","127.6500"
"2019/01/14","128.2800","7362039.0000","128.7400","128.9600","127.5898"
"2019/01/11","129.7500","5296821.0000","129.0000","129.8400","128.3100"
"2019/01/10","129.7100","6217193.0000","127.6900","129.8900","127.6900"
"2019/01/09","128.9300","7400359.0000","129.8300","130.2400","128.3300"
"2019/01/08","129.9600","9198666.0000","128.1800","130.5000","127.7300"
"2019/01/07","127.0100","8381321.0000","127.6300","128.3491","126.7970"
"2019/01/04","127.8300","8746471.0000","127.1200","128.6500","126.7300"
"2019/01/03","125.7200","8597698.0000","128.1350","128.2700","125.3600"
"2019/01/02","127.7500","6985739.0000","128.1300","128.3800","126.2800"
"2018/12/31","129.0500","6964740.0000","128.1800","129.5500","127.4200"
"2018/12/28","127.2700","6301850.0000","127.9100","128.7500","126.7500"
"2018/12/27","127.4100","9848557.0000","125.8700","127.4100","123.0700"
"2018/12/26","126.7100","9236009.0000","123.4200","126.7600","122.0071"
"2018/12/24","122.8400","7531885.0000","127.3000","128.0000","121.0000"
"2018/12/21","128.0900","19631160.0000","127.8000","130.6000","127.1200"
"2018/12/20","128.2700","16094130.0000","127.7200","129.7500","126.7600"
"2018/12/19","127.6100","21220840.0000","129.8700","131.3500","127.0900"
"2018/12/18","130.4200","23589620.0000","132.0500","132.8000","129.2000"
"2018/12/17","129.1400","36854740.0000","128.3200","131.6500","126.8300"
"2018/12/14","133.0000","58124730.0000","144.3400","145.3800","130.2000"
"2018/12/13","147.8400","5983317.0000","146.9600","148.5899","146.8000"
"2018/12/12","147.1000","8869173.0000","147.0000","148.4900","147.0000"
"2018/12/11","146.5000","8272025.0000","146.2900","148.2100","145.7900"
"2018/12/10","145.2600","6828853.0000","145.3900","145.8800","142.3800"
"2018/12/07","145.4300","9299936.0000","145.4900","147.3367","144.1200"
"2018/12/06","145.9100","11229670.0000","144.5000","146.4500","142.7900"
"2018/12/04","146.0300","9455653.0000","146.3200","148.9900","145.8200"
"2018/12/03","146.2100","8670766.0000","145.5700","146.6300","144.9400"
"2018/11/30","146.9000","12513380.0000","145.3400","147.0000","145.1000"
"2018/11/29","145.8500","6764979.0000","145.6200","147.2000","144.8400"
"2018/11/28","146.4400","8262289.0000","143.8300","146.5600","143.3600"
"2018/11/27","143.2200","5961075.0000","140.5700","143.3500","139.6600"
"2018/11/26","141.3700","7565570.0000","142.0000","142.0500","140.7150"
"2018/11/23","142.2300","3404882.0000","141.8500","142.7300","141.6000"
"2018/11/21","141.9900","10275090.0000","146.2300","146.2300","140.7800"
"2018/11/20","146.4500","8937629.0000","147.5000","148.7500","146.3500"
"2018/11/19","147.7300","8709192.0000","146.4300","148.4400","146.3700"
"2018/11/16","145.9900","7971861.0000","144.7100","146.7400","144.5500"
"2018/11/15","144.5000","6657825.0000","143.4100","144.5100","142.4800"
"2018/11/14","144.2500","6426460.0000","145.0200","145.3100","143.5600"
"2018/11/13","144.6800","7318120.0000","146.1900","146.7500","143.4200"
"2018/11/12","145.6200","7007089.0000","144.9900","146.2400","144.7300"
"2018/11/09","145.3400","5343128.0000","145.0400","145.7400","144.3800"
"2018/11/08","145.3000","5440152.0000","144.3100","145.7921","144.0000"
"2018/11/07","144.7500","6986137.0000","143.1000","144.8735","142.9700"
"2018/11/06","142.5700","5797605.0000","141.5300","142.8300","141.0600"
"2018/11/05","142.2000","5581312.0000","141.0000","142.7400","139.0000"
"2018/11/02","140.6800","7645374.0000","141.9700","142.0000","139.6600"
"2018/11/01","140.8200","6572666.0000","140.0700","141.5800","139.8500"
"2018/10/31","139.9900","9950798.0000","141.0000","141.4300","139.6100"
"2018/10/30","140.7500","9625421.0000","137.9300","141.1000","137.0000"
"2018/10/29","137.5500","6762493.0000","136.9900","139.1000","136.2200"
"2018/10/26","136.9700","11365750.0000","137.9400","139.3000","135.3300"
"2018/10/25","138.4700","9692758.0000","137.4600","139.0900","135.0500"
"2018/10/24","137.4700","8136686.0000","138.5200","140.1100","137.1700"
"2018/10/23","138.9300","8282673.0000","137.7900","139.4900","137.4500"
"2018/10/22","138.6800","4637393.0000","138.6100","139.2600","138.1400"
"2018/10/19","139.0500","5745483.0000","138.3400","140.0000","137.9100"
"2018/10/18","139.5000","7296212.0000","139.2000","139.8100","137.7100"
"2018/10/17","139.4600","8092183.0000","136.2300","140.0000","136.2100"
"2018/10/16","136.5600","9327013.0000","134.7500","137.9900","134.7500"
"2018/10/15","133.9500","6377165.0000","133.8800","135.3000","133.5100"
"2018/10/12","133.8700","6853987.0000","134.4000","134.4100","132.2300"
"2018/10/11","133.8400","11589230.0000","137.9100","138.6600","132.8800"
"2018/10/10","137.7300","6702824.0000","139.3500","140.4600","137.7300"
"2018/10/09","139.2000","4474698.0000","138.7400","139.6200","137.8100"
"2018/10/08","139.3900","4458531.0000","138.9000","139.6800","138.6200"
"2018/10/05","139.1000","4308720.0000","139.8000","140.2500","138.5600"
"2018/10/04","139.3500","4626908.0000","138.5500","139.5300","137.3200"
"2018/10/03","139.0300","5134538.0000","140.5400","141.2700","138.8800"
"2018/10/02","140.4800","5920004.0000","139.7900","140.7300","139.6500"
"2018/10/01","139.6900","4839384.0000","138.2600","139.8500","138.0000"
"2018/09/28","138.1700","5801928.0000","138.1000","138.5600","137.4100"
"2018/09/27","138.2200","6392637.0000","138.4500","139.5786","137.5700"
"2018/09/26","138.1600","6967068.0000","138.9500","140.0000","137.9600"
"2018/09/25","138.6400","7716268.0000","140.5300","140.9600","138.4000"
"2018/09/24","140.4700","6677846.0000","142.1000","142.5000","140.2300"
"2018/09/21","142.8800","13099350.0000","142.1800","143.1300","141.6900"
"2018/09/20","141.9800","4995902.0000","140.8200","142.1400","140.5100"
"2018/09/19","140.4600","5049188.0000","140.7600","140.9900","140.0500"
"2018/09/18","140.5400","4563751.0000","140.2700","140.8400","139.8300"
"2018/09/17","139.9600","5144209.0000","139.3300","140.4000","139.1800"
"2018/09/14","139.4900","4322968.0000","140.0000","140.3500","139.1000"
"2018/09/13","139.8900","6111004.0000","139.8900","140.4800","139.0200"
"2018/09/12","139.3600","6744443.0000","138.9000","139.9900","138.5600"
"2018/09/11","138.5100","7834011.0000","137.6400","138.9100","137.2200"
"2018/09/10","137.2100","4794313.0000","137.5300","138.4716","137.0600"
"2018/09/07","137.3200","6374329.0000","136.7800","137.6900","135.7450"
"2018/09/06","136.8700","6556556.0000","135.5000","137.3100","135.1800"
"2018/09/05","135.8600","6174811.0000","133.4800","135.9400","133.4600"
"2018/09/04","133.7200","4406324.0000","134.6900","134.7500","133.4400"
"2018/08/31","134.6900","6130260.0000","134.6000","135.0000","133.9700"
"2018/08/30","134.9500","4821940.0000","134.7000","135.6000","134.6000"
"2018/08/29","134.8600","4648614.0000","134.3200","134.9440","133.9400"
"2018/08/28","134.3200","6037014.0000","134.7800","134.9000","133.8900"
"2018/08/27","134.9200","4325876.0000","135.5000","136.0500","134.2100"
"2018/08/24","135.9500","4809388.0000","135.1100","136.1464","134.8300"
"2018/08/23","135.1100","5055783.0000","134.6100","135.4900","134.1000"
"2018/08/22","134.6100","4688412.0000","135.5600","135.6800","134.4200"
"2018/08/21","135.3500","5826363.0000","137.0000","137.4300","135.3000"
"2018/08/20","136.8800","7875831.0000","134.9300","137.1200","134.0000"
"2018/08/17","134.4700","6698662.0000","132.4500","135.0000","132.1900"
"2018/08/16","132.4800","7788872.0000","131.0200","132.8800","130.5700"
"2018/08/15","130.4300","5346519.0000","129.7500","130.7400","128.9300"
"2018/08/14","129.5000","4514231.0000","129.6700","130.4700","129.3500"
"2018/08/13","130.2200","3760818.0000","130.7200","130.9000","129.8500"
"2018/08/10","130.7500","4321842.0000","131.1900","131.6300","130.2600"
"2018/08/09","131.2000","3849559.0000","131.5400","131.7200","130.6700"
"2018/08/08","131.1700","3721547.0000","131.4900","131.8000","130.8900"
"2018/08/07","131.4600","4626774.0000","131.8800","132.1700","131.3000"
"2018/08/06","132.0200","5840034.0000","131.6400","132.5300","131.0100"
"2018/08/03","131.9500","6498713.0000","131.1800","132.7000","130.9000"
"2018/08/02","131.2500","6563338.0000","132.8900","133.0000","131.0900"
"2018/08/01","132.6400","5770410.0000","132.3900","132.9600","132.0800"
"2018/07/31","132.5200","7556829.0000","132.2800","132.6400","131.7700"
"2018/07/30","132.1700","11012580.0000","131.7800","132.4900","131.2500"
"2018/07/27","131.5500","6620170.0000","129.9800","132.2700","129.9400"
"2018/07/26","130.2800","7638927.0000","129.9000","131.2200","129.8500"
"2018/07/25","128.6200","6522827.0000","129.1400","129.2300","127.6500"
"2018/07/24","129.3600","7158631.0000","127.2400","129.6200","127.1500"
"2018/07/23","126.6300","4425883.0000","125.7500","126.6800","125.4500"
"2018/07/20","125.8500","5835531.0000","125.3000","126.1400","125.1200"
"2018/07/19","125.9400","5903095.0000","127.5300","127.7000","125.8700"
"2018/07/18","127.8000","6991560.0000","128.8100","129.0500","127.1700"
"2018/07/17","129.1100","12849710.0000","128.5300","130.5400","127.5638"
"2018/07/16","124.6900","7311339.0000","126.0000","126.1000","124.1600"
"2018/07/13","125.9300","8236247.0000","125.3200","127.5000","125.3200"
"2018/07/12","127.7600","6167397.0000","127.7100","128.2100","127.1700"
"2018/07/11","126.2400","4815507.0000","127.4100","127.4401","126.0600"
"2018/07/10","127.3800","5069308.0000","126.3700","127.5200","126.1100"
"2018/07/09","126.0500","6702093.0000","126.2200","126.7500","125.6000"
"2018/07/06","125.7500","7297581.0000","125.1600","125.9200","124.6100"
"2018/07/05","125.0000","7314204.0000","123.6000","125.1200","123.2300"
"2018/07/03","122.7100","4248060.0000","121.6500","123.4600","121.2600"
